CMDLINE /Users/cconlon/anaconda3/bin/python3.7 2_Process_WRDS_Data.py
MEM 28658.804688 1593110580.1615
MEM 28658.804688 1593110580.2632
MEM 28658.804688 1593110580.3638
MEM 28658.804688 1593110580.4690
MEM 28658.804688 1593110580.5734
MEM 28658.804688 1593110580.6762
MEM 28658.804688 1593110580.7814
MEM 28658.804688 1593110580.8816
MEM 28658.804688 1593110580.9868
MEM 28658.804688 1593110581.0921
MEM 28658.804688 1593110581.1972
MEM 28658.804688 1593110581.2982
MEM 28658.804688 1593110581.3994
MEM 28658.804688 1593110581.5037
MEM 28658.804688 1593110581.6043
MEM 28658.804688 1593110581.7079
MEM 28658.804688 1593110581.8091
MEM 28658.804688 1593110581.9103
MEM 28658.804688 1593110582.0106
MEM 28658.804688 1593110582.1128
MEM 28658.804688 1593110582.2139
MEM 28658.804688 1593110582.3143
MEM 28658.804688 1593110582.4149
MEM 28658.804688 1593110582.5153
MEM 28658.804688 1593110582.6182
MEM 28658.804688 1593110582.7195
MEM 28658.804688 1593110582.8210
MEM 28658.804688 1593110582.9262
MEM 28658.804688 1593110583.0313
MEM 28658.804688 1593110583.1321
MEM 28658.804688 1593110583.2373
MEM 28658.804688 1593110583.3391
MEM 28658.804688 1593110583.4414
MEM 28658.804688 1593110583.5466
MEM 28658.804688 1593110583.6518
MEM 28658.804688 1593110583.7559
MEM 28658.812500 1593110583.8581
MEM 28658.812500 1593110583.9633
MEM 28658.812500 1593110584.0659
MEM 28658.812500 1593110584.1669
MEM 28658.812500 1593110584.2678
MEM 28658.812500 1593110584.3680
MEM 28658.832031 1593110584.4683
MEM 28658.832031 1593110584.5696
MEM 28658.832031 1593110584.6708
MEM 28658.835938 1593110584.7749
MEM 28658.839844 1593110584.8762
MEM 28658.843750 1593110584.9764
MEM 28658.843750 1593110585.0775
MEM 28658.847656 1593110585.1779
MEM 28658.847656 1593110585.2828
MEM 28658.851562 1593110585.3867
MEM 28658.851562 1593110585.4879
MEM 28658.851562 1593110585.5892
MEM 28658.851562 1593110585.6897
MEM 28658.851562 1593110585.7917
MEM 28658.851562 1593110585.8924
MEM 28658.851562 1593110585.9971
MEM 28658.851562 1593110586.0993
MEM 28658.851562 1593110586.2028
MEM 28658.851562 1593110586.3067
MEM 28658.851562 1593110586.4073
MEM 28658.851562 1593110586.5084
MEM 28658.851562 1593110586.6105
MEM 28658.851562 1593110586.7114
MEM 28658.851562 1593110586.8152
MEM 28658.851562 1593110586.9167
MEM 28658.851562 1593110587.0171
MEM 28658.851562 1593110587.1191
MEM 28658.851562 1593110587.2217
MEM 28658.851562 1593110587.3242
MEM 28658.851562 1593110587.4252
MEM 28658.851562 1593110587.5269
MEM 28658.851562 1593110587.6297
MEM 28658.851562 1593110587.7336
MEM 28658.851562 1593110587.8370
MEM 28658.851562 1593110587.9374
MEM 28658.851562 1593110588.0420
MEM 28658.851562 1593110588.1466
MEM 28658.851562 1593110588.2508
MEM 28658.851562 1593110588.3531
MEM 28658.851562 1593110588.4574
MEM 28658.851562 1593110588.5626
MEM 28658.851562 1593110588.6669
MEM 28658.851562 1593110588.7673
MEM 28658.851562 1593110588.8675
MEM 28658.851562 1593110588.9727
MEM 28658.851562 1593110589.0766
MEM 28658.851562 1593110589.1768
MEM 28658.851562 1593110589.2810
MEM 28658.851562 1593110589.3812
MEM 28658.851562 1593110589.4817
MEM 28658.851562 1593110589.5842
MEM 28658.851562 1593110589.6895
MEM 28658.851562 1593110589.7933
MEM 28658.851562 1593110589.8935
MEM 28658.851562 1593110589.9984
MEM 28658.851562 1593110590.1036
MEM 28658.851562 1593110590.2053
MEM 28658.851562 1593110590.3100
MEM 28658.851562 1593110590.4116
MEM 28658.851562 1593110590.5168
MEM 28658.851562 1593110590.6220
MEM 28658.851562 1593110590.7272
MEM 28658.851562 1593110590.8288
MEM 28658.851562 1593110590.9340
MEM 28658.851562 1593110591.0347
MEM 28658.851562 1593110591.1380
MEM 28658.851562 1593110591.2433
MEM 28658.851562 1593110591.3436
MEM 28658.851562 1593110591.4488
MEM 28658.851562 1593110591.5494
MEM 28658.851562 1593110591.6515
MEM 28658.851562 1593110591.7567
MEM 28658.851562 1593110591.8601
MEM 28658.851562 1593110591.9650
MEM 28658.851562 1593110592.0683
MEM 28658.851562 1593110592.1687
MEM 28658.851562 1593110592.2702
MEM 28658.851562 1593110592.3755
MEM 28658.851562 1593110592.4769
MEM 28658.851562 1593110592.5821
MEM 28658.851562 1593110592.6873
MEM 28658.851562 1593110592.7925
MEM 28658.851562 1593110592.8966
MEM 28658.851562 1593110593.0018
MEM 28658.851562 1593110593.1020
MEM 28658.851562 1593110593.2027
MEM 28658.851562 1593110593.3079
MEM 28658.851562 1593110593.4114
MEM 28658.851562 1593110593.5117
MEM 28658.851562 1593110593.6169
MEM 28658.851562 1593110593.7200
MEM 28658.851562 1593110593.8226
MEM 28658.851562 1593110593.9233
MEM 28658.851562 1593110594.0280
MEM 28658.851562 1593110594.1282
MEM 28658.851562 1593110594.2284
MEM 28658.851562 1593110594.3287
MEM 28658.851562 1593110594.4339
MEM 28658.851562 1593110594.5391
MEM 28658.847656 1593110594.6405
MEM 28658.851562 1593110594.7449
MEM 28658.851562 1593110594.8458
MEM 28658.851562 1593110594.9460
MEM 28658.851562 1593110595.0497
MEM 28658.851562 1593110595.1549
MEM 28658.851562 1593110595.2569
MEM 28658.851562 1593110595.3615
MEM 28658.851562 1593110595.4634
MEM 28658.851562 1593110595.5687
MEM 28658.851562 1593110595.6739
MEM 28659.488281 1593110595.7782
MEM 28660.929688 1593110595.8785
MEM 28665.859375 1593110595.9810
MEM 28667.250000 1593110596.0838
MEM 28667.285156 1593110596.1846
MEM 28667.128906 1593110596.2863
MEM 28686.363281 1593110596.3916
MEM 28659.148438 1593110596.4950
MEM 28659.332031 1593110596.5954
MEM 28659.351562 1593110596.7006
MEM 28659.351562 1593110596.8058
MEM 28659.351562 1593110596.9062
MEM 28659.351562 1593110597.0108
MEM 28659.351562 1593110597.1110
MEM 28655.687500 1593110597.2144
MEM 28673.707031 1593110597.3172
MEM 28660.277344 1593110597.4201
MEM 28660.320312 1593110597.5211
MEM 28660.343750 1593110597.6222
MEM 28660.339844 1593110597.7232
MEM 28660.164062 1593110597.8284
MEM 28672.921875 1593110597.9296
MEM 28718.804688 1593110598.0298
MEM 28765.058594 1593110598.1327
MEM 28812.792969 1593110598.2370
MEM 28840.246094 1593110598.3419
MEM 28840.265625 1593110598.4462
MEM 28840.265625 1593110598.5466
